id,title,genre,releaseYear
747,Beyond the Storm,Animation,2012
748,Iron Echo,Fantasy,2007
749,A Distant Circle File 4,Animation,1977
750,The Planet of Avalon,Action,1997
751,The Frontier of Berlin File 9,Fantasy,2010
752,Before the Voyage,Sci-Fi,2022
753,Inside the Gentle Station,Action,1995
754,The Frontier of Nevada,Comedy,2002
755,Crimson Train of Berlin,Action,1998
756,The Stranger of Brooklyn,Action,1981
757,After Sahara,Horror,1973
758,Silent Dawn of Oslo,Comedy,1976
759,The Lonely Dawn,Sci-Fi,2018
760,Archive Protocol,Drama,1977
761,After Brooklyn,Comedy,2006
762,A Lonely Valley,Thriller,2012
763,Return to Mars Chapter 9,Horror,2024
764,Before the Message,Action,2023
765,A Broken Heart,Sci-Fi,2013
766,Electric Puzzle of Tokyo,Drama,1985
767,Signal Protocol Chapter 7,Horror,2014
768,Inside the Final River,Crime,2018
769,Door Protocol,Action,1990
770,Radiant Days,Action,2000
771,Puzzle Protocol,Animation,1975
772,Dream of Havana,Action,2011
773,Before the Door,Fantasy,2023
774,The Door of Montana,Romance,2014
775,Lonely Horizon of Tokyo,Crime,1993
776,Castle Protocol,Sci-Fi,2014
777,Legend of Prague,Horror,2021
778,Lunar Empire of Nowhere,Sci-Fi,2011
779,Return to Lisbon,Animation,1994
780,Venice Bridge,Animation,1988
781,The Message of London File 2,Crime,2002
782,Inside the Solar Message,Mystery,2018
783,Witness Theory Chapter 8,Animation,1976
784,Mirror of Brooklyn,Action,1998
785,Beyond the Horizon Chapter 3,Sci-Fi,2024
786,After Harbor Part 5,Drama,2008
787,Strange Mirror,Horror,2002
788,Before the Stranger Chapter 6,Drama,1988
789,Inside the Shadow Bridge,Animation,1990
790,The Mirror of Tokyo,Romance,2020
791,Beyond the Room Case 6,Animation,2002
792,The Sacred Valley Case 3,Sci-Fi,2014
793,The Broken Door,Sci-Fi,2013
794,A Radiant Valley,Romance,2023
795,Circle of Iceland,Romance,1979
796,Echo Theory,Romance,2024
797,Return to Lisbon File 2,Animation,1983
798,Tower of Cairo,Romance,1984
799,The Dawn of Sahara,Animation,2022
800,The Season of Eden,Crime,1973
801,The Room of Iceland,Sci-Fi,1994
802,A Savage Tower,Animation,1987
803,Royal Days,Sci-Fi,1987
804,A Velvet Echo,Comedy,2022
805,Kingdom of Moonbase Part 3,Adventure,2007
806,Fallen Train,Drama,2003
807,Cairo Signal,Fantasy,1984
808,A Neon Shadow,Mystery,1976
809,Code of Iceland,Drama,1979
810,Secret Carnival Chapter 8,Action,1974
811,Beyond the Planet,Comedy,1979
812,Royal Night of London,Sci-Fi,2000
813,Train of Sahara,Action,2021
814,Station of Nowhere,Horror,1991
815,Return to Amazon Chapter 8,Animation,1980
816,Silver Valley Case 3,Sci-Fi,1994
817,Beyond the Night,Sci-Fi,1993
818,Ocean Witness of London,Sci-Fi,1973
819,Restless Days,Sci-Fi,2022
820,The Frozen Song,Adventure,2010
821,Beyond the Message,Drama,1981
822,Inside the Neon Mirror,Animation,1989
823,Storm Theory,Action,2006
824,Iron Valley of Venice File 9,Adventure,2001
825,Message Theory Chapter 4,Horror,1972
826,Inside the Distant Planet,Animation,1988
827,Galaxy Theory Part 5,Sci-Fi,2011
828,After Eden,Sci-Fi,1996
829,The Final Valley,Action,1999
830,Silver Days,Animation,1998
831,Return to Sahara File 3,Animation,1984
832,Return to Venice File 7,Comedy,1993
833,Restless Storm Part 2,Horror,2009
834,The Valley of Eden,Sci-Fi,1983
835,The Puzzle of Iceland,Comedy,2007
836,Orion Valley,Romance,2012
837,Code Protocol,Action,1979
838,Moonbase Ocean,Thriller,1981
839,Shadow Days,Sci-Fi,2018
840,Hidden Days,Comedy,1975
841,Burning Heart of Kyoto,Sci-Fi,2001
842,The Room of Kyoto,Sci-Fi,2012
843,The Empire of Prague,Adventure,1979
844,Before the Echo,Drama,2013
845,A Iron Heart,Drama,1998
846,Return to Nevada Part 3,Animation,2002
847,Beyond the Stranger,Animation,2001
848,Inside the Sacred Puzzle,Comedy,2025
849,After London,Thriller,1992
850,The Blue Dream,Thriller,2005
851,Dawn Theory,Crime,2023
852,Storm Protocol,Drama,1984
853,Carnival of Havana,Sci-Fi,2020
854,Before the Fire File 6,Adventure,2024
855,Beyond the Circle,Sci-Fi,2011
856,Signal of Boston,Drama,1989
857,Inside the Golden Mirror,Animation,2016
858,The Song of Boston,Drama,2008
859,Broken Days File 4,Sci-Fi,2005
860,Mars Season Chapter 2,Animation,1985
861,Electric Shadow,Romance,2000
862,Hollow Puzzle,Thriller,2006
863,The Lonely Shadow,Horror,1996
864,The Endless Circle,Crime,1976
865,The Neon Storm,Action,1995
866,The Distant Galaxy,Comedy,2014
867,The Silent Castle,Fantasy,1972
868,Hidden Heart,Sci-Fi,1997
869,Train Theory File 6,Romance,2002
870,The Archive of Manhattan,Fantasy,1986
871,Inside the Final Ocean,Thriller,2017
872,Kingdom Protocol Chapter 2,Drama,1981
873,The Dawn of Sydney,Horror,2007
874,The Restless Machine,Action,1995
875,Inside the Last Room,Crime,2019
876,Inside the Forgotten Signal,Animation,1997
877,Beyond the Fire Part 4,Comedy,1973
878,Moonbase Planet,Romance,1979
879,Mars Legend,Animation,2015
880,A Frozen Kingdom Case 4,Romance,2012
881,Forgotten Machine of Boston,Fantasy,2020
882,Labyrinth of Paris,Comedy,1999
883,Train Protocol,Romance,1986
884,Inside the Bright Heart,Sci-Fi,1992
885,Beyond the Message Case 9,Comedy,2009
886,Lisbon Echo Part 4,Comedy,1990
887,The Strange Voyage Chapter 5,Drama,2004
888,Galaxy of Lisbon,Animation,2013
889,Brooklyn Door,Sci-Fi,1997
890,Puzzle Theory Part 2,Romance,2011
891,Broken Season,Animation,2013
892,Inside the Royal Kingdom,Fantasy,1979
893,Beyond the Code Case 6,Action,2001
894,Horizon Protocol,Animation,2024
895,Carnival of Kyoto,Romance,2003
896,Solar Days,Action,2022
897,A Final Witness,Sci-Fi,1994
898,Sacred Days,Romance,1980
899,Inside the Secret Code,Drama,2012
900,Horizon of Montana,Fantasy,1983
901,Inside the Ancient Signal,Mystery,2002
902,The Voyage of Kyoto,Sci-Fi,1986
903,Inside the Ocean Stranger,Action,1997
904,Inside the Wandering Shadow,Romance,1986
905,Silver Carnival of Manhattan,Sci-Fi,1980
906,Circle of Seoul Chapter 4,Fantasy,1997
907,Red Days,Horror,2005
908,Paris Frontier File 7,Mystery,2018
909,Inside the Gentle Tower,Action,2025
910,Beyond the Memory,Sci-Fi,2022
911,Wild Promise,Animation,1984
912,Montana Ocean,Animation,1994
913,The Shadow Promise Part 7,Comedy,1977
914,Ancient Secret of Sydney,Animation,1986
915,Return to Boston,Comedy,2017
916,A Hidden Dawn,Action,2013
917,A Parallel Promise,Romance,2010
918,Berlin Train Part 6,Sci-Fi,1994
919,Forest Theory File 3,Animation,2018
920,Station Theory Chapter 7,Mystery,1984
921,Atlantis Echo,Animation,2000
922,Quantum Legend,Animation,2014
923,The Velvet Promise,Sci-Fi,1983
924,Inside the Golden Puzzle,Animation,2000
925,The Midnight Night,Action,2001
926,Frozen Days,Fantasy,2007
927,Final Days,Thriller,1999
928,Distant Labyrinth of Tokyo,Adventure,2006
929,Broken Bridge Part 7,Adventure,1976
930,Crimson Code of Avalon Part 6,Animation,2014
931,Return to Manhattan,Fantasy,1995
932,Before the Dawn,Thriller,2012
933,Ancient Road of Montana,Action,2009
934,The Light of Lisbon,Horror,1999
935,Invisible Days,Adventure,2025
936,Inside the Blue Puzzle,Animation,2006
937,Eden Message,Comedy,2016
938,Return to Prague Case 7,Animation,2017
939,Shadow Theory,Crime,1995
940,Forest Protocol,Drama,1997
941,Inside the Last Code Part 7,Drama,1988
942,Before the Castle,Romance,2010
943,Amazon Planet,Adventure,2024
944,Storm of Nevada Chapter 9,Romance,1984
945,Velvet Machine of Kyoto,Crime,2002
946,A Quantum Mirror,Drama,1997
947,Atlantis Road,Adventure,1997
948,Cairo Dawn,Animation,1979
949,Atlantis Ocean,Comedy,2024
950,The Room of Sydney,Sci-Fi,1991
951,After Havana Part 9,Romance,2016
952,The Stranger of Nowhere Part 4,Comedy,1994
953,Hidden Horizon of Eden,Adventure,2006
954,The Tower of Nevada File 2,Romance,2010
955,The Ocean of Venice,Comedy,1974
956,A Invisible Promise,Action,2008
957,Final Ocean,Action,1991
958,London Voyage,Sci-Fi,1973
959,Return to Moonbase Chapter 4,Animation,2019
960,The Lost Puzzle,Action,1999
961,Galaxy Protocol,Comedy,2008
962,Inside the Distant Legend,Drama,2009
963,Inside the Urban Valley,Thriller,2020
964,The Quest of Oslo,Animation,2016
965,Inside the Gentle Night File 2,Romance,1982
966,Machine Theory File 7,Animation,2012
967,A First Song,Animation,2025
968,The Sacred Signal,Comedy,1996
969,The Station of London,Animation,2015
970,Inside the Golden Season Chapter 8,Thriller,2022
971,Dawn of Moonbase,Animation,2000
972,Last Echo of Orion Chapter 6,Horror,1996
973,Silent Days,Drama,2013
974,Shadow Voyage,Drama,1974
975,The Message of Orion,Drama,2021
976,Inside the Final Quest,Romance,1973
977,Savage Road of Nowhere,Action,2024
978,Inside the Shadow Stranger,Crime,1974
979,The Lunar Storm,Horror,2020
980,Mirror of Moonbase,Action,2023
981,After Prague Chapter 5,Thriller,1983
982,Havana Signal,Action,1976
983,The Legend of Cairo,Horror,2021
984,The Train of Nevada Case 7,Action,2012
985,Return to Seoul,Animation,2024
986,Memory Theory Part 7,Action,1972
987,Forest of Lisbon,Drama,2020
988,Inside the Midnight Night,Romance,2008
989,The Neon Signal,Sci-Fi,1972
990,A Royal City,Fantasy,1990
991,After Cairo Chapter 5,Romance,1999
992,Return to Tokyo,Animation,1975
993,Shadow of Harbor,Romance,2017
994,Inside the Urban Dream,Romance,2015
995,A Burning Archive,Drama,2011
996,The Quantum Night,Animation,1980
997,Burning Carnival Part 3,Action,2002
998,Return to Iceland Chapter 8,Thriller,1982
999,Heart of Tokyo,Fantasy,2013
1000,Savage Secret of Sahara Case 2,Animation,1981
